name,main_category,sub_category,review_rating,no_of_ratings,discount_price,actual_price,best_model,comments,cleaned_narrative,best_avg_score,link
"Redmi 10 Power (Power Black, 8GB RAM, 128GB Storage)","tv, audio & cameras",All Electronics,3.0 out of 5 stars,965,"₹10,999","₹18,999",BART,warn graphic content click read full transcript interview click watch full interview cnncom,"""The customer mentioned that while they found the Redmi 10 Power's design appealing in black, with its power capabilities meeting their expectations for battery life and speed, there were some areas for improvement such as better camera quality compared to other devices in the same price range."" ""The reviewer noted that despite the good performance and storage capacity, the device lacked an advanced camera system which is often a critical feature for many consumers looking for comprehensive photography options.""",0.0,https://www.amazon.in/Redmi-Power-Black-128GB-Storage/dp/B09Y64H8VS/ref=sr_1_4?qid=1679133649&s=electronics&sr=1-4
"OnePlus Nord CE 2 Lite 5G (Blue Tide, 6GB RAM, 128GB Storage)","tv, audio & cameras",All Electronics,1.0 out of 5 stars,"113,956","₹18,999","₹19,999",BART,bad experi devic xr phone back camera found defect non function amazon careless hang damag piec worth rupe,"The customer mentioned their extremely negative experience with the OnePlus Nord CE 2 Lite 5G, citing the back camera as being defective and non-functional. The review notes that despite multiple attempts to resolve the issue through customer service, no satisfactory solution was provided by Amazon, leading the customer to conclude that the company lacks care in their products and services. As a result, they are currently holding onto what has become an expensive piece of hardware for more than $9,100.",0.867235656709341,https://www.amazon.in/OnePlus-Nord-Lite-128GB-Storage/dp/B09WQYFLRX/ref=sr_1_5?qid=1679133649&s=electronics&sr=1-5
"OnePlus Bullets Z2 Bluetooth Wireless in Ear Earphones with Mic, Bombastic Bass - 12.4 Mm Drivers, 10 Mins Charge - 20 Hrs...","tv, audio & cameras",All Electronics,5.0 out of 5 stars,"90,304","₹1,999","₹2,299",T5,amazoncom amaz phone amaz camera come devic plu great servic amazon devic great phone great camera amaz camera,"""The customer was thoroughly impressed with the OnePlus Bullets Z2 Bluetooth wireless earphones, noting their impressive bass response and high-quality audio performance."" ""The reviewer expressed satisfaction with the overall experience, highlighting the excellent customer service provided by Amazon during the purchase process."" ""The product met or exceeded expectations, earning the highest rating possible for its features and reliability.""",0.6611111111111111,https://www.amazon.in/Oneplus-Bluetooth-Wireless-Earphones-Bombastic/dp/B09TVVGXWS/ref=sr_1_6?qid=1679133649&s=electronics&sr=1-6
"Samsung Galaxy M33 5G (Mystique Green, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus | Travel Adapte...","tv, audio & cameras",All Electronics,1.0 out of 5 stars,"24,863","₹15,999","₹24,999",T5,face id work there glitch front camera portrait mode amazonin authoris appl resel,"The customer mentioned that the Face ID feature on their Samsung Galaxy M33 5G device was not functioning as expected, indicating an issue with the biometric authentication system. The reviewer noted that they encountered a technical glitch in the front camera’s portrait mode during video calls or selfies, which significantly impacted their overall experience. Additionally, the customer expressed dissatisfaction due to Amazon India not being recognized as an authorized Apple retailer for this particular device model.",0.5080971659919028,https://www.amazon.in/Samsung-Mystique-Storage-Purchased-Separately/dp/B09TWGDY4W/ref=sr_1_7?qid=1679133649&s=electronics&sr=1-7
"OnePlus Nord CE 2 Lite 5G (Black Dusk, 6GB RAM, 128GB Storage)","tv, audio & cameras",All Electronics,5.0 out of 5 stars,"113,956","₹18,999","₹19,999",T5,ive android user life decid tri devic xr io month sinc got phone im love face id work flawlessli even dark,"The customer mentioned that they were previously an Android user but switched to the OnePlus Nord CE 2 Lite 5G because their iPhone was on the verge of failure due to issues with face recognition. They are now very satisfied with their purchase, particularly praising the seamless operation of Face ID, which worked perfectly in low light conditions. The reviewer notes that they have not encountered any significant bugs or performance issues during their use period of over a month.",0.6541942257217848,https://www.amazon.in/OnePlus-Nord-Black-128GB-Storage/dp/B09WQY65HN/ref=sr_1_8?qid=1679133649&s=electronics&sr=1-8
"Redmi 10 Power (Sporty Orange, 8GB RAM, 128GB Storage)","tv, audio & cameras",All Electronics,1.0 out of 5 stars,625,"₹10,999","₹18,999",BART,deliv phone work immedi remov box appl servic told phone lie without charg sinc month henc batteri fail leav phone appl repair wait replac batteri,"The customer mentioned their Redmi 10 Power phone stopped working immediately upon delivery and could not be repaired by local services due to an old faulty battery. The reviewer noted that Apple's service indicated the device was out of warranty for five months, which led to the need for a replacement battery. This experience has left the customer frustrated and disappointed with both the quality of the product and the repair process.",0.7047953216374269,https://www.amazon.in/Redmi-Power-Sporty-Orange-Storage/dp/B09Y5WPXGW/ref=sr_1_9?qid=1679133649&s=electronics&sr=1-9
"boAt Airdopes 141 Bluetooth Truly Wireless in Ear Earbuds with mic, 42H Playtime, Beast Mode(Low Latency Upto 80ms) for Ga...","tv, audio & cameras",All Electronics,5.0 out of 5 stars,"172,347","₹1,299","₹3,995",BART,month sinc start use devic xr experi awesom excel batteri life smooth oper system dual sim function best featur devic issu bother time taken charg phone,"The customer mentioned that they have experienced outstanding performance from their boAt Airdopes 141 Bluetooth Truly Wireless earbuds with Mic, noting excellent battery life and smooth operating systems. The reviewer highlighted the dual SIM functionality as one of the best features, but expressed minor concern about the time it takes to charge the phone. Overall, the customer's satisfaction is high, praising these earbuds for their quality and utility.",0.7344286642532256,https://www.amazon.in/Airdopes-141-Playtime-Resistance-Bluetooth/dp/B09N3ZNHTY/ref=sr_1_10?qid=1679133649&s=electronics&sr=1-10
"Apple 20W USB-C Power Adapter (for iPhone, iPad & AirPods)","tv, audio & cameras",All Electronics,1.0 out of 5 stars,"61,748","₹1,589","₹1,900",T5,phone hang video qualiti good im sure good phone,"The customer mentioned that their device was malfunctioning due to improper power supply from the adapter, affecting video quality significantly. The reviewer noted with disappointment that they cannot confidently judge whether this model of smartphone meets their expectations based on this poor experience.",0.6166666666666667,https://www.amazon.in/Apple-USB-C-Adapter-iPhone-AirPods/dp/B08L5WWFCY/ref=sr_1_11?qid=1679133649&s=electronics&sr=1-11
"Fire-Boltt Ninja Call Pro Plus 1.83"" Smart Watch with Bluetooth Calling, AI Voice Assistance, 100 Sports Modes IP67 Ratin...","tv, audio & cameras",All Electronics,4.0 out of 5 stars,"16,949","₹1,799","₹19,999",BART,ill use review mostli say im fan particular devic model ill use mostli show dont like particular model,"The customer mentioned that they are disappointed with the design aesthetics, finding the watch too bulky for their tastes despite its impressive features such as smartwatch functionality and advanced voice assistant capabilities. The reviewer noted that while the call quality was good, the battery life was disappointing, lasting only around two days on a single charge compared to advertised three days. Additionally, the sports modes were limited in variety, falling short of expectations for someone looking for comprehensive fitness tracking options. Overall, the customer's experience fell short of their",0.698139287612972,https://www.amazon.in/Fire-Boltt-Bluetooth-Calling-Assistance-Resolution/dp/B0BF57RN3K/ref=sr_1_12?qid=1679133649&s=electronics&sr=1-12
"Samsung Galaxy M33 5G (Emerald Brown, 6GB, 128GB Storage) | 6000mAh Battery | Upto 12GB RAM with RAM Plus | Travel Adapter...","tv, audio & cameras",All Electronics,1.0 out of 5 stars,"24,863","₹15,999","₹24,999",BART,went devic xr month consider amazon offer realli good discount felt time right upgrad,"The customer mentioned they were hesitant about upgrading their device due to budget constraints but found significant value in the Samsung Galaxy M33 5G, especially with its improved battery life and additional memory options. However, despite these benefits, the overall user experience fell short of expectations, resulting in an unsatisfactory rating of 1.0 out of 5 stars. The review notes that the travel adapter included was not compatible with all destinations, which overshadowed several other positive features.",0.8507918866351765,https://www.amazon.in/Samsung-Emerald-Storage-Purchased-Separately/dp/B0B14MR9L1/ref=sr_1_15?qid=1679133649&s=electronics&sr=1-15
